;time mandante;placar mandante;placar visitante;time visitante;rodada;lambda mandante;lambda visitante;erro média mandante;erro média visitante;erro moda mandante;erro moda visitante;frequência do erro;probabilidade placar;probabilidade máxima;nota do ranqueamento;partida;resultado;previsão;correto2
0;Santos;0;3;Grêmio;20;1,61;1,3406;1,61;-1,659;1;-2;4;0,02100473;0,112900481;0;1;1;1;1
1;Avaí;1;0;Atlético-MG;20;0,527;1,1625;-0,473;1,163;-1;1;4;0,097290422;0,214611225;6;2;0;1;0
2;CSA;1;0;Ceará;20;0,5464;0,8427;-0,454;0,843;-1;0;20;0,136217287;0,249299573;8;3;0;1;0
3;Fortaleza;0;1;Palmeiras;20;0,7836;1,3884;0,784;0,388;0;0;24;0,158207472;0,158207472;10;4;1;1;1
4;Botafogo;1;2;São Paulo;20;0,6001;0,4343;-0,4;-1,566;-1;-2;7;0,020115882;0,355439581;3;5;1;1;1
5;Cruzeiro;1;2;Flamengo;20;0,6648;2,0053;-0,335;0,005;-1;0;20;0,092557161;0,139225574;7;6;1;1;1
6;Goiás;3;0;Fluminense;20;1,7994;1,0813;-1,201;1,081;-2;1;4;0,054470302;0,109144487;2;7;0;0;1
7;Internacional;1;0;Chapecoense;20;3,9078;0,6673;2,908;0,667;2;0;5;0,040270929;0,10249556;1;8;0;0;1
8;Corinthians;2;1;Bahia;20;0,7138;0,5839;-1,286;-0,416;-2;-1;12;0,040632881;0,273159338;4;9;0;1;0
9;Vasco;1;1;Athlético-PR;20;1,1788;2,0185;0,179;1,018;0;1;8;0,097252133;0,098151715;9;10;1;1;1
10;Flamengo;3;1;Internacional;21;2,6594;0,6374;-0,341;-0,363;-1;-1;20;0,07393154;0,130844444;5;11;0;0;1
11;Ceará;0;0;Cruzeiro;21;2,3615;0,7052;2,361;0,705;2;0;5;0,046574598;0,129865866;3;12;1;0;0
12;Athlético-PR;4;1;Fortaleza;21;1,3768;0,8381;-2,623;-0,162;-3;-1;4;0,013697748;0,150297587;0;13;0;0;1
13;Chapecoense;0;1;Corinthians;21;0,6456;1,3469;0,646;0,347;0;0;24;0,183655356;0,183655356;10;14;1;1;1
14;Fluminense;1;1;Santos;21;0,5702;0,9988;-0,43;-0,001;-1;-1;20;0,118603554;0,208253332;7;15;1;1;1
15;Atlético-MG;1;2;Vasco;21;1,4993;1,1311;0,499;-0,869;0;-1;20;0,069102275;0,122185969;4;16;1;1;1
16;Bahia;2;0;Botafogo;21;1,2475;0,6427;-0,752;0,643;-1;0;20;0,117529715;0,188424393;7;17;0;0;1
17;Grêmio;6;1;Avaí;21;1,661;0,7306;-4,339;-0,269;-5;-1;1;0,001949424;0,151953585;0;18;0;0;1
18;São Paulo;0;1;Goiás;21;3,0095;0,3281;3,009;-0,672;3;-1;1;0,011654804;0,161372873;0;19;1;0;0
19;Palmeiras;6;2;CSA;21;1,8418;0,1414;-4,158;-1,859;-5;-2;1;7,46E-05;0,253483475;0;20;0;0;1
20;Fluminense;2;1;Grêmio;22;0,423;1,4533;-1,577;0,453;-2;0;9;0,019913118;0,22258123;1;21;0;1;0
21;Goiás;1;0;Cruzeiro;22;1,6262;0,6891;0,626;0,689;0;0;24;0,160565392;0,160565392;10;22;0;0;1
22;Atlético-MG;2;1;Ceará;22;1,515;0,928;-0,485;-0,072;-1;-1;20;0,09254689;0,131653138;7;23;0;0;1
23;Internacional;1;1;Palmeiras;22;1,1984;0,5855;0,198;-0,415;0;-1;20;0,117866605;0,201309316;7;24;1;0;0
24;Flamengo;0;0;São Paulo;22;2,1841;0,7428;2,184;0,743;2;0;5;0,053562826;0,127755181;4;25;1;0;0
25;Corinthians;1;0;Vasco;22;1,2139;0,5793;0,214;0,579;0;0;24;0,202025433;0,202025433;10;26;0;0;1
26;Fortaleza;1;0;Botafogo;22;0,8528;1,1005;-0,147;1,101;-1;1;4;0,120931595;0,156056778;7;27;0;1;0
27;Athlético-PR;1;1;Chapecoense;22;2,5733;0,5714;1,573;-0,429;1;-1;7;0,0633439;0,142634632;4;28;1;0;0
28;Avaí;0;2;Bahia;22;0,4513;1,3286;0,451;-0,671;0;-1;20;0,148853055;0,224075049;8;29;1;1;1
29;Santos;2;0;CSA;22;2,9978;0,7987;0,998;0,799;0;0;24;0,10087332;0,10087332;10;30;0;0;1
30;Cruzeiro;1;1;Internacional;23;0,9367;0,9812;-0,063;-0,019;-1;-1;20;0,135028261;0,14691516;7;31;1;1;1
31;Palmeiras;1;1;Atlético-MG;23;2,3836;0,4606;1,384;-0,539;1;-1;7;0,063875887;0,165278511;5;32;1;0;0
